Station,CameraName,Species,DateTimeOriginal,Date,Time
5,5A,Tapirus-terrestris,7/15/18 0:37,7/15/18,0:37:00
5,5A,NAN-NAN,7/16/18 5:51,7/16/18,5:51:00
7,7B,Mitu-salvini,7/21/18 6:07,7/21/18,6:07:12
7,7B,Nasua-nasua,7/21/18 10:22,7/21/18,10:22:05
7,7A,Eira-barbara,8/27/18 17:31,8/27/18,17:31:00
7,7A,Mitu-salvini,8/27/18 18:49,8/27/18,18:49:00
7,7A,Atelocynus-microtis,8/28/18 12:05,8/28/18,12:05:00
10,10A,Pecari-tajacu,8/6/18 9:40,8/6/18,9:40:00
11,11B,Mazama-gouazoubira,7/8/18 8:23,7/8/18,8:23:00
12,12B,Cuniculus-paca,7/22/18 21:59,7/22/18,21:59:00
13,13A,Mazama-gouazoubira,8/10/18 16:28,8/10/18,16:28:00
13,13A,Mazama-gouazoubira,8/12/18 22:05,8/12/18,22:05:00
13,13A,Myrmecophaga-tridactyla,8/15/18 14:32,8/15/18,14:32:00
14,14B,Dasypus-novemcinctus,8/15/18 0:01,8/15/18,0:01:00
14,14A,Dasypus-novemcinctus,8/16/18 6:15,8/16/18,6:15:00
17,17A,Mazama-americana,7/6/18 22:44,7/6/18,22:44:00
17,17A,Mazama-gouazoubira,7/11/18 16:50,7/11/18,16:50:00
17,17A,Mazama-gouazoubira,7/14/18 9:57,7/14/18,9:57:00
17,17A,Mazama-americana,8/1/18 6:40,8/1/18,6:40:00
17,17A,Mazama-americana,8/4/18 22:05,8/4/18,22:05:00
17,17A,Psophia-crepitans,8/10/18 2:23,8/10/18,2:23:00
17,17A,Pecari-tajacu,8/25/18 10:34,8/25/18,10:34:00
17,17A,Pecari-tajacu,8/25/18 19:12,8/25/18,19:12:00
17,17A,Mazama-gouazoubira,9/11/18 19:05,9/11/18,19:05:00
17,17A,Dasypus-novemcinctus,9/12/18 20:26,9/12/18,20:26:00
17,17A,Panthera-onca,9/17/18 8:49,9/17/18,8:49:00
17,17A,Mazama-gouazoubira,9/20/18 7:05,9/20/18,7:05:00
17,17A,Tapirus-terrestris,9/21/18 22:18,9/21/18,22:18:00
17,17A,Nasua-nasua,9/23/18 2:34,9/23/18,2:34:00
17,17A,Mazama-gouazoubira,9/23/18 4:34,9/23/18,4:34:00
17,17A,Psophia-crepitans,9/26/18 3:41,9/26/18,3:41:00
18,18B,Tamandua-tetradactyla,8/13/18 5:28,8/13/18,5:28:00
18,18B,Dasyprocta-fuliginosa,8/14/18 16:05,8/14/18,16:05:00
18,18B,Panthera-onca,8/19/18 10:13,8/19/18,10:13:00
18,18B,Dasyprocta-fuliginosa,8/21/18 13:43,8/21/18,13:43:00
18,18B,Pecari-tajacu,8/30/18 16:42,8/30/18,16:42:00
18,18B,Mitu-salvini,9/1/18 9:33,9/1/18,9:33:00
18,18B,Panthera-onca,9/5/18 8:30,9/5/18,8:30:00
18,18B,Panthera-onca,9/5/18 12:31,9/5/18,12:31:00
18,18B,Leopardus-pardalis,9/7/18 22:35,9/7/18,22:35:00
18,18B,Psophia-crepitans,9/14/18 8:35,9/14/18,8:35:00
18,18B,Atelocynus-microtis,9/15/18 22:22,9/15/18,22:22:00
18,18A,Dasyprocta-fuliginosa,7/26/18 17:41,7/26/18,17:41:51
18,18A,Tayassu-pecari,7/27/18 7:37,7/27/18,7:37:51
18,18A,Dasyprocta-fuliginosa,7/27/18 18:01,7/27/18,18:01:51
18,18A,Cuniculus-paca,7/30/18 3:50,7/30/18,3:50:51
18,18A,Dasyprocta-fuliginosa,7/31/18 14:27,7/31/18,14:27:51
18,18A,Atelocynus-microtis,8/2/18 20:38,8/2/18,20:38:51
18,18A,Psophia-crepitans,8/3/18 17:16,8/3/18,17:16:51
18,18A,NA-NA,8/3/18 18:04,8/3/18,18:04:51
18,18A,NAN-NAN,8/4/18 4:29,8/4/18,4:29:51
18,18A,Dasyprocta-fuliginosa,8/5/18 13:06,8/5/18,13:06:51
18,18A,Dasyprocta-fuliginosa,8/8/18 17:32,8/8/18,17:32:51
18,18A,Tapirus-terrestris,8/16/18 22:40,8/16/18,22:40:51
18,18A,Panthera-onca,8/19/18 10:13,8/19/18,10:13:51
18,18A,Dasyprocta-fuliginosa,8/21/18 13:43,8/21/18,13:43:51
18,18A,Dasyprocta-fuliginosa,8/21/18 17:42,8/21/18,17:42:51
18,18A,Cuniculus-paca,8/24/18 1:29,8/24/18,1:29:51
18,18A,Cuniculus-paca,8/26/18 19:16,8/26/18,19:16:51
18,18A,Psophia-crepitans,8/30/18 13:43,8/30/18,13:43:51
18,18A,Mitu-salvini,9/1/18 9:34,9/1/18,9:34:51
18,18A,Atelocynus-microtis,9/2/18 3:43,9/2/18,3:43:51
18,18A,Panthera-onca,9/5/18 8:31,9/5/18,8:31:51
18,18A,Panthera-onca,9/5/18 12:32,9/5/18,12:32:51
18,18A,Leopardus-pardalis,9/7/18 22:36,9/7/18,22:36:51
18,18A,Cuniculus-paca,9/9/18 3:36,9/9/18,3:36:51
18,18A,Crypturellus-undulatus,9/9/18 6:21,9/9/18,6:21:51
18,18A,NA-NA,9/9/18 10:02,9/9/18,10:02:51
18,18A,NA-NA,9/13/18 17:37,9/13/18,17:37:51
18,18A,Psophia-crepitans,9/14/18 8:33,9/14/18,8:33:51
18,18A,Psophia-crepitans,9/14/18 8:37,9/14/18,8:37:51
18,18A,Dasyprocta-fuliginosa,9/15/18 17:22,9/15/18,17:22:51
19,19B,Pecari-tajacu,7/8/18 8:43,7/8/18,8:43:00
20,20B,Tayassu-pecari,7/23/18 16:48,7/23/18,16:48:36
20,20B,Pecari-tajacu,7/26/18 7:02,7/26/18,7:02:36
20,20B,Myrmecophaga-tridactyla,8/11/18 13:30,8/11/18,13:30:36
20,20B,Pecari-tajacu,8/30/18 9:17,8/30/18,9:17:36
20,20B,Pecari-tajacu,8/30/18 9:55,8/30/18,9:55:36
20,20A,Tayassu-pecari,7/26/18 7:02,7/26/18,7:02:36
22,22A,Pecari-tajacu,8/22/18 13:05,8/22/18,13:05:00
22,22A,Atelocynus-microtis,8/22/18 18:52,8/22/18,18:52:00
22,22A,Nasua-nasua,8/22/18 8:29,8/22/18,8:29:00
24,24A,Tapirus-terrestris,9/1/18 20:38,9/1/18,20:38:00
25,25A,Dasyprocta-fuliginosa,9/15/18 11:37,9/15/18,11:37:00
25,25A,Leopardus-pardalis,9/15/18 22:16,9/15/18,22:16:00
25,25A,Tapirus-terrestris,9/18/18 7:10,9/18/18,7:10:00
25,25A,Atelocynus-microtis,9/26/18 13:01,9/26/18,13:01:00
25,25A,Mazama-americana,9/28/18 18:35,9/28/18,18:35:00
11,11B,Tayassu-pecari,7/3/18 16:54,7/3/18,16:54:54
11,11B,Tayassu-pecari,7/3/18 16:54,7/3/18,16:54:57
11,11B,Tayassu-pecari,7/3/18 16:55,7/3/18,16:55:00
4,4B,Mazama-gouazoubira,7/4/18 19:49,7/4/18,19:49:36
4,4B,Mazama-gouazoubira,7/4/18 19:50,7/4/18,19:50:01
6,6A,Cuniculus-paca,7/4/18 19:08,7/4/18,19:08:46
6,6A,Cuniculus-paca,7/4/18 19:08,7/4/18,19:08:47
6,6A,Cuniculus-paca,7/4/18 23:45,7/4/18,23:45:33
6,6A,Cuniculus-paca,7/4/18 23:45,7/4/18,23:45:34
6,6A,Cuniculus-paca,7/4/18 23:45,7/4/18,23:45:35
6,6A,Cuniculus-paca,7/4/18 23:51,7/4/18,23:51:33
6,6A,Cuniculus-paca,7/4/18 23:51,7/4/18,23:51:34
6,6A,Cuniculus-paca,7/4/18 23:51,7/4/18,23:51:35
12,12B,Dasypus-novemcinctus,7/4/18 22:51,7/4/18,22:51:27
12,12B,Dasypus-novemcinctus,7/4/18 22:51,7/4/18,22:51:28
12,12B,Dasypus-novemcinctus,7/4/18 22:51,7/4/18,22:51:29
4,4A,Tapirus-terrestris,7/5/18 4:37,7/5/18,4:37:33
4,4A,Tapirus-terrestris,7/5/18 4:37,7/5/18,4:37:34
4,4A,Tapirus-terrestris,7/5/18 4:37,7/5/18,4:37:35
4,4B,Mazama-gouazoubira,7/5/18 4:37,7/5/18,4:37:45
4,4B,Mazama-gouazoubira,7/5/18 4:38,7/5/18,4:38:10
4,4B,Mazama-gouazoubira,7/5/18 4:40,7/5/18,4:40:52
4,4B,Mazama-gouazoubira,7/5/18 4:40,7/5/18,4:40:53
4,4B,Mitu-salvini,7/5/18 6:33,7/5/18,6:33:52
4,4B,Mitu-salvini,7/5/18 6:34,7/5/18,6:34:16
4,4B,Tayassu-pecari,7/5/18 11:09,7/5/18,11:09:04
4,4B,Tayassu-pecari,7/5/18 11:09,7/5/18,11:09:29
6,6A,Cuniculus-paca,7/5/18 19:14,7/5/18,19:14:55
6,6A,Cuniculus-paca,7/5/18 19:14,7/5/18,19:14:56
6,6A,Cuniculus-paca,7/5/18 19:14,7/5/18,19:14:57
6,6A,Cuniculus-paca,7/5/18 20:21,7/5/18,20:21:45
6,6A,Cuniculus-paca,7/5/18 20:21,7/5/18,20:21:46
6,6A,Cuniculus-paca,7/5/18 20:21,7/5/18,20:21:47
6,6A,Cuniculus-paca,7/5/18 20:55,7/5/18,20:55:08
6,6A,Cuniculus-paca,7/5/18 20:55,7/5/18,20:55:09
6,6A,Cuniculus-paca,7/5/18 20:55,7/5/18,20:55:10
6,6A,Cuniculus-paca,7/5/18 22:05,7/5/18,22:05:01
6,6A,Cuniculus-paca,7/5/18 22:05,7/5/18,22:05:02
6,6A,Cuniculus-paca,7/5/18 22:05,7/5/18,22:05:03
6,6A,Cuniculus-paca,7/5/18 22:56,7/5/18,22:56:04
6,6A,Cuniculus-paca,7/5/18 22:56,7/5/18,22:56:05
6,6A,Cuniculus-paca,7/5/18 22:56,7/5/18,22:56:06
6,6A,Cuniculus-paca,7/5/18 23:38,7/5/18,23:38:35
8,8A,Cuniculus-paca,7/5/18 19:55,7/5/18,19:55:12
8,8A,Cuniculus-paca,7/5/18 19:55,7/5/18,19:55:13
8,8A,Cuniculus-paca,7/5/18 19:55,7/5/18,19:55:14
13,13A,NAN-NAN,7/5/18 0:26,7/5/18,0:26:24
13,13A,NAN-NAN,7/5/18 0:26,7/5/18,0:26:25
13,13A,NAN-NAN,7/5/18 0:26,7/5/18,0:26:26
13,13A,Psophia-crepitans,7/5/18 10:40,7/5/18,10:40:29
13,13A,Psophia-crepitans,7/5/18 10:40,7/5/18,10:40:30
13,13A,Psophia-crepitans,7/5/18 10:40,7/5/18,10:40:31
13,13A,Dasyprocta-fuliginosa,7/5/18 16:34,7/5/18,16:34:14
13,13A,Dasyprocta-fuliginosa,7/5/18 16:34,7/5/18,16:34:15
13,13A,Dasyprocta-fuliginosa,7/5/18 16:34,7/5/18,16:34:16
13,13B,Dasyprocta-fuliginosa,7/5/18 16:34,7/5/18,16:34:22
13,13B,Dasyprocta-fuliginosa,7/5/18 16:34,7/5/18,16:34:23
13,13B,Dasyprocta-fuliginosa,7/5/18 16:34,7/5/18,16:34:24
4,4B,Mazama-americana,7/6/18 7:49,7/6/18,7:49:13
6,6A,Atelocynus-microtis,7/6/18 5:31,7/6/18,5:31:31
6,6A,Atelocynus-microtis,7/6/18 5:31,7/6/18,5:31:32
6,6A,Atelocynus-microtis,7/6/18 5:31,7/6/18,5:31:33
6,6A,Cuniculus-paca,7/6/18 20:22,7/6/18,20:22:40
6,6A,Cuniculus-paca,7/6/18 20:22,7/6/18,20:22:41
6,6A,Cuniculus-paca,7/6/18 20:22,7/6/18,20:22:42
6,6A,Cuniculus-paca,7/6/18 22:09,7/6/18,22:09:21
6,6A,Cuniculus-paca,7/6/18 22:09,7/6/18,22:09:22
6,6A,Cuniculus-paca,7/6/18 22:09,7/6/18,22:09:23
6,6A,Cuniculus-paca,7/6/18 23:21,7/6/18,23:21:35
6,6A,Cuniculus-paca,7/6/18 23:21,7/6/18,23:21:36
6,6A,Cuniculus-paca,7/6/18 23:21,7/6/18,23:21:37
8,8B,Mazama-gouazoubira,7/6/18 17:09,7/6/18,17:09:31
8,8B,Mazama-gouazoubira,7/6/18 17:09,7/6/18,17:09:32
8,8B,Mazama-gouazoubira,7/6/18 17:09,7/6/18,17:09:33
8,8A,Cuniculus-paca,7/6/18 23:54,7/6/18,23:54:18
8,8A,Cuniculus-paca,7/6/18 23:54,7/6/18,23:54:19
8,8A,Cuniculus-paca,7/6/18 23:54,7/6/18,23:54:20
11,11A,Tayassu-pecari,7/6/18 18:59,7/6/18,18:59:09
11,11A,Tayassu-pecari,7/6/18 18:59,7/6/18,18:59:12
11,11A,Tayassu-pecari,7/6/18 18:59,7/6/18,18:59:15
13,13A,Psophia-crepitans,7/6/18 8:23,7/6/18,8:23:21
13,13A,Psophia-crepitans,7/6/18 8:23,7/6/18,8:23:22
13,13A,Psophia-crepitans,7/6/18 8:23,7/6/18,8:23:23
13,13B,Psophia-crepitans,7/6/18 8:23,7/6/18,8:23:28
13,13B,Psophia-crepitans,7/6/18 8:23,7/6/18,8:23:29
13,13B,Psophia-crepitans,7/6/18 8:23,7/6/18,8:23:30
28,28A,Myrmecophaga-tridactyla,7/6/18 18:16,7/6/18,18:16:31
28,28A,Myrmecophaga-tridactyla,7/6/18 18:16,7/6/18,18:16:35
28,28A,Myrmecophaga-tridactyla,7/6/18 18:16,7/6/18,18:16:37
29,29A,Nasua-nasua,7/6/18 19:48,7/6/18,19:48:41
29,29A,Nasua-nasua,7/6/18 19:48,7/6/18,19:48:44
29,29A,Nasua-nasua,7/6/18 19:48,7/6/18,19:48:48
8,8A,Cuniculus-paca,7/7/18 3:22,7/7/18,3:22:40
8,8A,Cuniculus-paca,7/7/18 3:22,7/7/18,3:22:41
8,8A,Cuniculus-paca,7/7/18 3:22,7/7/18,3:22:42
8,8A,Crypturellus-undulatus,7/7/18 16:27,7/7/18,16:27:36
8,8A,Crypturellus-undulatus,7/7/18 16:27,7/7/18,16:27:37
